state_name,population_2024_estimate
Uttar Pradesh,241066874
Bihar,128592000
Maharashtra,127528000
West Bengal,99563000
Madhya Pradesh,87610000
Rajasthan,81897000
Tamil Nadu,77089000
Karnataka,68115000
Gujarat,72367000
Andhra Pradesh,53340000
Odisha,46566000
Telangana,38272000
Kerala,35920000
Jharkhand,39963000
Assam,36047000
Punjab,30926000
Chhattisgarh,30524000
Haryana,30573000
Delhi,21752000
Jammu and Kashmir,13701000
Uttarakhand,11755000
Himachal Pradesh,7505000
Tripura,4184000
Meghalaya,3379000
Manipur,3253000
Nagaland,2253000
Goa,1583000
Arunachal Pradesh,1576000
Puducherry,1391163
Mizoram,1250000
Chandigarh,1243000
Sikkim,695000
Dadra and Nagar Haveli and Daman and Diu,657587
Andaman and Nicobar Islands,404000
Ladakh,302000
Lakshadweep,69000
